id,price,reviews_per_month,accommodates,bathrooms,bedrooms,beds,property_type,room_type,neighbourhood,zip code,minimum_nights
1,175,0.37,2,1,0,1,Apartment,Entire home/apt,Allston,02134,5
2,125,0.76,3,1,1,2,Apartment,Entire home/apt,Allston,02134,30
3,85,0.16,2,1,1,1,Apartment,Private room,Allston,02134,91
4,130,0.27,2,2,1,2,House,Private room,Allston,02134,1
5,70,0.76,2,1,1,1,Apartment,Private room,Allston,02134,29
6,107,0.01,6,1,2,2,Apartment,Entire home/apt,Allston,02134,91
7,41,0.05,2,2,1,1,House,Private room,Allston,02134,91
8,99,5.17,2,1,0,2,Apartment,Entire home/apt,Allston,02134,180
9,88,5.26,8,1.5,3,4,Other,Entire home/apt,Allston,02134,4
10,45,0.11,1,0,1,0,House,Private room,Allston,02134,91
11,230,0.05,2,1,2,2,Other,Private room,Allston,02134,91
12,65,4.68,1,2,1,1,House,Private room,Allston,02134,91
13,35,0.03,1,1,1,1,House,Private room,Allston,02134,91
14,40,0.23,2,2,1,1,House,Private room,Allston,02134,91
15,65,2.45,1,2,1,1,House,Private room,Allston,02134,91
16,78,0.2,2,1,1,1,House,Private room,Allston,02134,1
17,50,3.02,1,2,1,1,House,Private room,Allston,02134,91
18,76,0.04,2,1,1,1,Apartment,Private room,Allston,02134,91
19,38,0.16,1,1.5,1,1,House,Private room,Allston,02134,91
20,50,0.49,2,2,1,1,House,Private room,Allston,02134,91
21,37,0.21,2,1,1,1,Apartment,Private room,Allston,02134,91
22,79,1.64,2,1,0,2,Apartment,Entire home/apt,Allston,02134,180
23,50,0.04,2,2,1,1,House,Private room,Allston,02134,91
24,119,0.26,2,1,1,1,Apartment,Entire home/apt,Allston,02134,91
25,50,0.02,2,1,1,1,Apartment,Private room,Allston,02134,91
26,129,2.73,6,1,3,4,Other,Entire home/apt,Allston,02134,2
27,100,0.82,1,1,0,1,Apartment,Entire home/apt,Allston,02134,91
28,120,0.2,4,1,1,2,Apartment,Entire home/apt,Allston,02134,91
29,70,2.45,1,2,1,1,House,Private room,Allston,02134,91
30,70,4,1,2,1,1,House,Private room,Allston,02134,91
31,70,2.55,1,2,1,1,House,Private room,Allston,02134,91
32,70,3.49,1,2,1,1,House,Private room,Allston,02134,91
33,42,0.02,1,2,1,1,Apartment,Private room,Allston,02134,91
34,85,0.9,2,2,1,1,Apartment,Private room,Allston,02134,91
35,111,8.58,4,1,1,3,Apartment,Entire home/apt,Allston,02134,1
36,188,3.28,14,2.5,4,6,Other,Entire home/apt,Allston,02134,1
37,289,1.82,8,1.5,2,5,Other,Entire home/apt,Allston,02134,91
38,40,0.14,1,1,1,1,House,Private room,Allston,02134,91
39,38,0.03,1,1,1,1,Apartment,Private room,Allston,02134,91
40,67,2.78,4,1,1,1,House,Private room,Allston,02134,2
41,75,0.6,1,1,1,1,Other,Private room,Allston,02134,91
42,130,3.79,2,1,0,2,Apartment,Entire home/apt,Allston,02134,1
