price,reviews_per_month,accommodates,bathrooms,bedrooms,beds,property_type,room_type,neighbourhood,minimum_nights
125,0.28,2,1,1,0,Apartment,Entire home/apt,East Boston,28
145,0.79,2,1,1,1,Other,Entire home/apt,Roxbury,3
169,0.88,4,1,1,1,Other,Entire home/apt,Roxbury,3
99,0.35,2,1,1,1,Apartment,Entire home/apt,Downtown,91
150,0.24,2,1,1,1,Apartment,Entire home/apt,Downtown,91
179,2.74,3,1,0,1,Apartment,Entire home/apt,Back Bay,91
125,0.04,2,1,0,1,Other,Entire home/apt,North End,91
154,0.43,7,1,3,3,Apartment,Entire home/apt,Dorchester,29
115,0.17,4,1,0,2,Other,Private room,Back Bay,1
275,0.89,5,2,2,3,Other,Entire home/apt,North End,2
221,0.77,2,1,1,1,Apartment,Entire home/apt,Charlestown,2
95,0.64,2,1.5,1,1,House,Private room,Jamaica Plain,6
125,1.11,3,1,1,1,Apartment,Entire home/apt,Charlestown,3
75,1.25,2,1,1,1,Apartment,Private room,Roxbury,2
175,0.23,2,1,1,1,Apartment,Entire home/apt,Downtown,32
110,0.49,3,1,1,1,Other,Entire home/apt,Beacon Hill,32
79,1.11,2,1,1,1,House,Private room,Roxbury,2
140,0.52,2,1,1,1,Apartment,Private room,Charlestown,2
175,0.37,2,1,0,1,Apartment,Entire home/apt,Allston,5
225,2.16,6,1,2,3,Other,Entire home/apt,Roxbury,3
200,1.41,10,2,4,5,Apartment,Entire home/apt,Roxbury,2
55,0.64,4,1,2,1,Other,Entire home/apt,Dorchester,7
60,0.42,1,1,1,1,Apartment,Private room,Jamaica Plain,30
90,3.75,2,1,1,1,Apartment,Entire home/apt,Jamaica Plain,2
100,1.84,2,1,1,1,House,Entire home/apt,Jamaica Plain,3
95,2.41,3,1,1,1,Other,Private room,North End,3
200,3.46,4,1,2,2,Apartment,Entire home/apt,South Boston,2
200,0.95,4,1,1,1,Apartment,Entire home/apt,Roxbury,91
80,0.36,1,1.5,1,1,House,Private room,West Roxbury,1
350,4.75,2,1,1,1,Apartment,Entire home/apt,South End,28
200,1.15,2,1,1,1,Other,Entire home/apt,Roxbury,91
60,0.29,1,1,1,1,Apartment,Private room,Dorchester,91
71,3.29,2,1,1,1,House,Private room,Jamaica Plain,3
200,0.2,2,1,1,1,House,Private room,Jamaica Plain,91
148,1.84,2,1,1,1,House,Private room,South End,2
